,District Code,District Name,Ward Code,Ward Name,District Population,District Acreage (Km2),District Latitude,District Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5b003f57fd16bb0039e375e3,IMC Tower,10.792443,106.694112,Long Term Servicecs
1,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4e2693b31f6eb1ae1396d1b8,Redhub Office,10.791638118600087,106.6938507423921,Long Term Servicecs
2,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5d9345bf7677880007cedf51,Hachi Space,10.791599,106.692044,Long Term Servicecs
3,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4fc706bee4b0a9a5f1f95546,Bệnh viện Quận 1,10.790038043968567,106.68938824054709,Long Term Servicecs
4,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5dcceb0160fb4e0008e88616,Estelle Boutique Apartment,10.788827,106.69229,Long Term Servicecs
5,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,582c6f25c4c9fa0b2fa2ebc1,62 Vo Thi Sou,10.789556,106.69328,Long Term Servicecs
6,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4fdf0523e4b0dd796c5a4419,Trường Hàn Ngữ Kanata Cơ Sở 2,10.789908024318875,106.69348222267557,Long Term Servicecs
7,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5505a30d498eb6579788eca9,LilPiano,10.791760873334963,106.6898776718047,Long Term Servicecs
8,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4e65870918a8ce02fe3117c8,Trường Tiểu Học Nguyễn Thái Sơn,10.788825953732136,106.68833452754419,Long Term Servicecs
9,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4e4c9697d22d10a6c5ce05c6,Chi Cục Thuế Quận 1,10.792032267624558,106.6925666841809,Long Term Servicecs
10,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,51bbe012e4b0b8711a5e1a50,New Image Office,10.788991,106.688357,Long Term Servicecs
11,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4f6417c9e4b0777dfc101602,Nha Quan Lon,10.7907373,106.691185,Long Term Servicecs
12,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,50e6824be4b0ffbc4a291ea0,Bao Hiem Xa Hoi Q1,10.791098008487307,106.69398893744518,Long Term Servicecs
13,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4d31a06298336dcb31291af0,Evergreen Hotel,10.793422811063337,106.69253213563319,Long Term Servicecs
14,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4f46286ee4b081614e175d32,Học Viện Tài Chính,10.789884,106.691731,Long Term Servicecs
15,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4fffe0e3e4b0627ba00e6a78,Nha Khoa Tâm Đức,10.79021910158946,106.68832301158304,Long Term Servicecs
16,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,50dfbde8e4b075c2e6ccf8c0,Nơi Luôn Có Người Sẵn Sàng Thức Trắng Đêm Đợi Bạn,10.792519,106.686772,Long Term Servicecs
17,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4dc0b4a11f6e7441cf3dd766,Ngoc Nha Dentistry,10.7924188,106.688963,Long Term Servicecs
18,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4e378374aeb7c8fe31728c13,Cty Thien Ân,10.7932839,106.68800470000001,Long Term Servicecs
19,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,5934226fcad1b60cd286b053,Đường Nguyễn Văn Mai,10.790108,106.687838,Long Term Servicecs
20,760,Quận 1,26734,Phường Tân Định,142000,7.72,10.792645,106.690645,4ff66624e4b0d27dd751fece,VUS Võ Thị Sáu,10.789398726348363,106.69313097789622,Long Term Servicecs
