,District Id,District Name,District Population,District Acreage (Km2),District Latitude,District Longitude,Venue Id,Venue Name,Venue Latitude,Venue Longitude,Venue Category
0,19,Bình Chánh,705000,252.56,10.724583,106.575197,5e5240407f39440008eba736,Cao Coffee,10.787477,106.62361,Coffee Shop
1,19,Bình Chánh,705000,252.56,10.724583,106.575197,5b6d5a08121384002c083f89,passio,10.749037,106.653464,Coffee Shop
2,19,Bình Chánh,705000,252.56,10.724583,106.575197,52f79dff11d2ba07c640abd2,Miền Thảo Mộc Café,10.763034700967966,106.64513960384872,Coffee Shop
3,19,Bình Chánh,705000,252.56,10.724583,106.575197,5a916d52588e361c5d177eef,Jardin De Cafe,10.713166,106.611015,Coffee Shop
4,19,Bình Chánh,705000,252.56,10.724583,106.575197,5889f35692789f233348cc4f,The Coffee House (178 Hậu Giang),10.749859,106.64363,Coffee Shop
5,19,Bình Chánh,705000,252.56,10.724583,106.575197,5e32986c5de197000871e1bf,Oxy House,10.751476,106.62258,Coffee Shop
6,19,Bình Chánh,705000,252.56,10.724583,106.575197,57934cad498ef0947a5e00e5,Highlands Cofee AEON Mall Bình Tân,10.74224,106.611443,Coffee Shop
7,19,Bình Chánh,705000,252.56,10.724583,106.575197,5954920465211f741f672a8f,The Coffee House Bình Phú,10.743174,106.63014,Coffee Shop
8,19,Bình Chánh,705000,252.56,10.724583,106.575197,5b8ca052968f31002c043a94,The Coffee House,10.7731495,106.627594,Coffee Shop
9,19,Bình Chánh,705000,252.56,10.724583,106.575197,5c98aac6fd16bb0039968509,Trung Nguyen Legend Cafe,10.749765,106.6502,Coffee Shop
10,19,Bình Chánh,705000,252.56,10.724583,106.575197,5947d6c526659b1af8c77579,The Coffee House (Vòng Xoay Mũi Tàu),10.745629,106.625092,Coffee Shop
11,19,Bình Chánh,705000,252.56,10.724583,106.575197,5e325e8f30cb8c0008acfa99,Moon Fruit & Cafe,10.751665,106.61958,Coffee Shop
12,19,Bình Chánh,705000,252.56,10.724583,106.575197,5e1c169c6356c10008901cb6,Cafe 268,10.763842,106.644311,Coffee Shop
13,19,Bình Chánh,705000,252.56,10.724583,106.575197,5dabb5d4bfb9f2000804bb66,"Phúc Long tea & coffee - lê quang sung st,.",10.750984,106.649701,Coffee Shop
14,19,Bình Chánh,705000,252.56,10.724583,106.575197,4d2284126e8c3704d2a10ca0,7 Kỳ Quang 七奇觀,10.741957477887363,106.63233965432391,Coffee Shop
15,19,Bình Chánh,705000,252.56,10.724583,106.575197,576836b5498e991e379191f1,Phúc Long Coffee & Tea House,10.74336439289612,106.61242246627808,Coffee Shop
16,19,Bình Chánh,705000,252.56,10.724583,106.575197,4dbf9d44043706a0320254db,Cà phê Vườn Đá - Stone Garden,10.7668842959117,106.64000153560487,Coffee Shop
17,19,Bình Chánh,705000,252.56,10.724583,106.575197,4f3b2c81e4b036beb85fa115,Cà Phê Tháp Cổ,10.728230994410403,106.65281066942855,Coffee Shop
18,19,Bình Chánh,705000,252.56,10.724583,106.575197,5974141d12c8f0189a18db69,Highlands Coffee,10.730402,106.60392,Coffee Shop
19,19,Bình Chánh,705000,252.56,10.724583,106.575197,5222aeaf11d2b150d145d1f2,Cafe Valentino,10.780394838244428,106.63282888380762,Coffee Shop
20,19,Bình Chánh,705000,252.56,10.724583,106.575197,4f654d2ee4b041039e868325,J coffee,10.7703854163638,106.63099831949829,Coffee Shop
21,19,Bình Chánh,705000,252.56,10.724583,106.575197,58bbd08ee9efba3ce62c1a1f,Đà Lạt Phố,10.754275,106.638267,Coffee Shop
22,19,Bình Chánh,705000,252.56,10.724583,106.575197,567dec25498e025b634d3771,Bùi văn ngọ coffee,10.74507,106.630821428571,Coffee Shop
23,19,Bình Chánh,705000,252.56,10.724583,106.575197,4cea47def3bda14342cec4e4,Cafe Mimosa,10.767719603855388,106.6434658666995,Coffee Shop
24,19,Bình Chánh,705000,252.56,10.724583,106.575197,5dc8e678a8957c00081df418,Ultra Coffee,10.784235,106.626823,Coffee Shop
25,19,Bình Chánh,705000,252.56,10.724583,106.575197,5d6d0f92d3702c00084a1ee3,highlands hàn hải nguyên,10.758475,106.643973,Coffee Shop
26,19,Bình Chánh,705000,252.56,10.724583,106.575197,516e361ce4b08823861f4683,Terra Cafe (Phong Phú - Bình Chánh),10.705710418395029,106.64415224580627,Coffee Shop
27,19,Bình Chánh,705000,252.56,10.724583,106.575197,517e5c95e4b0a19987d58c2b,K Coffee,10.751925,106.642923,Coffee Shop
28,19,Bình Chánh,705000,252.56,10.724583,106.575197,4eba0cedb8f765de71f45875,Cafe Ho Thanh,10.7621672,106.6293443,Coffee Shop
29,19,Bình Chánh,705000,252.56,10.724583,106.575197,4d579066de8f6dcbf39e0091,Cafe Kem 103,10.751651,106.617211,Coffee Shop
30,19,Bình Chánh,705000,252.56,10.724583,106.575197,4e1e31d445dd7907662e7669,Thuy Truc,10.752532,106.596534,Coffee Shop
31,19,Bình Chánh,705000,252.56,10.724583,106.575197,54adfa7c498e4611854dd295,Tam Chan Cafe,10.752333453175838,106.6150707603669,Coffee Shop
32,19,Bình Chánh,705000,252.56,10.724583,106.575197,4d4d1ee2fe7fb1f748a45842,45N Coffee,10.765818,106.644728,Coffee Shop
33,19,Bình Chánh,705000,252.56,10.724583,106.575197,546a0046498e6a5dab9a1648,Cafe A&T,10.76935,106.641317,Coffee Shop
34,19,Bình Chánh,705000,252.56,10.724583,106.575197,57d1a696498e7076a78565c0,Cafe a Đẳng,10.726135,106.627418,Coffee Shop
35,19,Bình Chánh,705000,252.56,10.724583,106.575197,5a6e765d2be4255bbf059641,Mộc Coffee,10.703718,106.619804,Coffee Shop
36,19,Bình Chánh,705000,252.56,10.724583,106.575197,525678fb498e6d08999c680d,Cafe Trống Đồng,10.743477,106.625627,Coffee Shop
37,19,Bình Chánh,705000,252.56,10.724583,106.575197,4d3d6c29d2c8f04d5fd76972,Cafe Khoanh Khac,10.751143389014732,106.59677982330322,Coffee Shop
38,19,Bình Chánh,705000,252.56,10.724583,106.575197,52c421f6498ed85546a7c845,Cà phê Bụi,10.776060104370117,106.62864685058594,Coffee Shop
39,19,Bình Chánh,705000,252.56,10.724583,106.575197,5dd8021c563eca0008dc0a58,Milano,10.788415,106.599709,Coffee Shop
40,19,Bình Chánh,705000,252.56,10.724583,106.575197,570a329e498ea5a8467a9070,Bazan Cafe,10.787325,106.62321,Coffee Shop
41,19,Bình Chánh,705000,252.56,10.724583,106.575197,53140d1511d27df1c16f70fc,Cà Phê Nguyên Chất 1060,10.739419937133789,106.63428497314453,Coffee Shop
42,19,Bình Chánh,705000,252.56,10.724583,106.575197,51e9f5fb498e8106b1d8f2dc,Cafe Bon Chen,10.752339363098145,106.6042709350586,Coffee Shop
43,19,Bình Chánh,705000,252.56,10.724583,106.575197,4f3dd987e4b02787b38bf995,Song Hoa Cafe,10.720754,106.655955,Coffee Shop
